LOCATION_SCORE,INDUSTRY_SCORE,COMPANY_SCORE,AVERAGE_SALARY
5,3,1,475000
5,3,1,475000
5,3,1,
1,3,1,200000
3,3,1,175000
5,3,1,200000
5,3,1,200000
5,3,1,250000
4,3,1,
5,3,1,
4,3,1,200000
1,3,1,200000
1,3,1,200000
1,3,1,
5,3,1,
1,3,1,240000
1,3,1,
3,3,1,50000
5,3,1,
5,3,1,475000
5,3,1,
5,3,1,
5,3,1,
5,3,1,
5,1,1,
3,3,1,100000
5,3,1,
5,3,1,
3,3,1,100000
1,3,1,235000
3,3,1,100000
3,3,1,175000
5,3,1,
5,3,1,270000
5,3,1,475000
5,3,1,
1,3,1,200000
3,3,1,100000
5,3,1,200000
1,3,1,200000
5,3,1,
1,3,1,200000
1,3,1,185000
3,3,1,175000
4,3,1,
4,3,1,
5,3,1,200000
4,3,1,
5,3,1,
5,3,1,200000
3,3,1,175000
1,3,1,
5,3,1,270000
3,3,1,100000
5,1,1,
4,3,1,
5,3,1,
3,3,1,100000
3,3,1,100000
1,3,1,
5,3,1,215000
5,3,1,200000
1,3,1,
3,3,1,100000
5,3,1,165000
3,3,1,175000
1,3,1,400000
5,3,1,200000
3,3,1,100000
5,3,1,200000
1,3,1,400000
5,3,1,200000
5,3,1,329999.5
5,3,1,305000
5,3,1,370000
1,3,1,315000
4,3,1,
1,3,1,250000
4,3,1,125000
3,3,1,175000
3,3,1,175000
5,3,1,
3,3,1,175000
1,3,1,525000
1,3,1,525000
1,3,1,
5,3,1,
3,3,1,100000
5,3,1,285000
5,3,1,475000
5,3,1,475000
5,3,1,
1,3,1,
5,3,1,285000
5,3,1,165000
5,3,1,165000
5,3,1,475000
4,3,1,225000
5,3,1,165000
5,3,1,165000
1,3,1,105000
5,3,1,
1,3,1,285000
3,3,1,175000
3,3,1,100000
5,3,1,
5,3,1,475000
5,3,1,475000
3,3,1,100000
5,3,1,475000
5,3,1,
5,3,1,395000
1,3,1,
1,1,1,350000
3,3,1,100000
5,3,1,
3,3,1,100000
5,3,1,
5,3,1,
3,3,1,100000
3,3,1,100000
1,3,1,
5,3,1,
5,3,1,
5,3,1,
5,3,1,
1,3,1,
1,3,1,
3,3,1,100000
5,3,1,
5,3,1,165000
3,3,1,175000
3,3,1,175000
3,3,1,100000
4,3,1,
4,3,1,
4,3,1,
5,3,1,
3,3,1,100000
5,1,1,
3,3,1,175000
1,3,1,
5,3,1,270000
1,3,1,175000
3,3,1,175000
5,3,1,
5,3,1,475000
3,3,1,175000
5,3,1,475000
5,3,1,475000
4,3,1,190000
3,3,1,175000
3,3,1,125000
1,3,1,315000
3,3,1,100000
5,3,1,475000
5,3,1,
5,3,1,
3,3,1,175000
3,3,1,100000
3,3,1,175000
3,3,1,175000
1,3,1,
5,3,1,475000
3,3,1,100000
5,3,1,475000
3,3,1,175000
5,3,1,
1,1,1,359999.5
1,3,1,
1,3,1,
3,3,1,175000
5,3,1,215000
5,3,1,200000
5,3,1,475000
1,3,1,
5,3,1,
3,3,1,175000
1,3,1,
5,3,1,
5,3,1,475000
1,3,1,
3,3,1,175000
1,3,1,
3,3,1,100000
5,3,1,
5,3,1,
1,3,1,
3,3,1,175000
3,3,1,175000
1,3,1,275000
5,3,1,
1,3,1,
4,2,1,
3,3,1,100000
1,3,1,
3,3,1,100000
5,3,1,350000
5,3,1,475000
3,3,1,280000
5,3,1,
3,3,1,155000
3,3,1,175000
3,3,1,100000
1,3,1,275000
5,3,1,
1,3,1,
3,3,1,175000
5,3,1,475000
3,3,1,100000
5,3,1,475000
5,3,1,
5,3,1,
1,3,1,275000
3,3,1,100000
3,3,1,175000
3,3,1,175000
5,3,1,475000
3,3,1,175000
3,3,1,100000
1,3,1,
5,3,1,
3,3,1,175000
3,3,1,100000
5,3,1,200000
5,3,1,
5,3,1,195000
5,3,1,
3,3,1,100000
5,3,1,
3,3,1,175000
1,3,1,
5,3,1,475000
3,3,1,175000
1,3,1,315000
3,3,1,150000
1,3,1,
3,3,1,150000
5,3,1,315000
5,3,1,
5,3,1,475000
1,3,1,275000
1,1,1,
5,3,1,
5,3,1,315000
5,3,1,315000
4,3,1,315000
5,3,1,
5,3,1,
1,3,1,260000
1,3,1,
1,3,1,275000
1,1,1,
5,3,1,
1,3,1,
5,3,1,315000
4,3,1,315000
5,3,1,
1,3,1,275000
5,3,1,210000
1,3,1,
5,3,1,200000
5,3,1,185000
5,3,1,
5,3,1,
3,3,1,175000
5,1,1,
5,3,1,185000
5,3,1,200000
3,3,1,125000
5,3,1,
3,3,1,175000
5,3,1,
3,3,1,175000
5,1,1,
1,3,1,
5,3,1,
3,3,1,175000
5,3,1,435000
3,3,1,100000
2,3,1,
5,3,1,
5,3,1,
1,1,1,
3,3,1,175000
1,3,1,300000
1,3,1,
5,3,1,
5,3,1,450000
3,3,1,100000
3,3,1,100000
2,3,1,
5,3,1,
5,3,1,
3,3,1,175000
5,3,1,
5,3,1,
5,3,1,
1,3,1,250000
